"ncbi_taxon_id","aphia_id","species_canonical","synonyms","subspecies","target_list_status","sequencing_status","status","publication_id","rank","isMarine","isBrackish","isFreshwater","isTerrestrial","isExtinct","modified","spec_code","order","family_x","Genus","authority","FBname","DemersPelag","Subfamily","depth_min_in_m","depth_max_in_m","common_depth_min","common_depth_max","length_max_in_cm","common_length_in_cm","weight_max_in_g","TempMin","TempMax"
7769,101170,"Myxine glutinosa","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2008-01-15 17:27:08,2513,"Myxiniformes","Myxinidae","Myxine","Linnaeus, 1758","Atlantic hagfish","bathydemersal","Myxininae",20,1200,27,460,95,30,NA,1.5,13
7748,101172,"Lampetra fluviatilis","[]","-","long_list","-","accepted","-","Species",1,1,1,0,NA,2017-08-09 06:21:34,4480,"Petromyzontiformes","Petromyzontidae","Lampetra","(Linnaeus, 1758)","River lamprey","demersal","Lampetrinae",10,NA,NA,NA,50,35,150,5,18
980415,101173,"Lethenteron camtschaticum","[]","-","long_list","-","accepted","-","Species",1,1,1,0,NA,2010-05-06 09:57:44,2524,"Petromyzontiformes","Petromyzontidae","Lethenteron","(Tilesius, 1811)","Arctic lamprey","demersal","Lampetrinae",0,50,NA,NA,63,16.0499992370605,200,5,18
7757,101174,"Petromyzon marinus","[]","-","long_list","-","accepted","-","Species",1,1,1,0,NA,2008-01-15 17:27:08,2530,"Petromyzontiformes","Petromyzontidae","Petromyzon","Linnaeus, 1758","Sea lamprey","demersal","Petromyzontinae",1,4099,NA,NA,120,60,2500,0.6,20
303933,105787,"Carcharhinus altimus","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2008-01-15 17:27:08,859,"Carcharhiniformes","Carcharhinidae","Carcharhinus","(Springer, 1950)","Bignose shark","reef-associated",NA,12,810,80,220,300,250,167800,NA,NA
263685,105788,"Carcharhinus brevipinna","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2008-01-15 17:27:08,865,"Carcharhiniformes","Carcharhinidae","Carcharhinus","(Müller & Henle, 1839)","Spinner shark","reef-associated",NA,0,100,0,NA,300,250,89700,NA,NA
202609,105789,"Carcharhinus falciformis","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2008-01-15 17:27:08,868,"Carcharhiniformes","Carcharhinidae","Carcharhinus","(Müller & Henle, 1839)","Silky shark","reef-associated",NA,0,4000,0,500,350,250,346000,NA,NA
671159,105790,"Carcharhinus galapagensis","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2008-01-15 17:27:08,870,"Carcharhiniformes","Carcharhinidae","Carcharhinus","(Snodgrass & Heller, 1905)","Galapagos shark","reef-associated",NA,1,286,30,180,370,300,85450,NA,NA
303934,105791,"Carcharhinus isodon","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2024-06-19 06:58:31,872,"Carcharhiniformes","Carcharhinidae","Carcharhinus","(Valenciennes, 1839)","Finetooth shark","demersal",NA,0,20,NA,NA,200,NA,NA,NA,NA
46612,105792,"Carcharhinus leucas","[]","-","long_list","data_generation","accepted","-","Species",1,1,1,0,NA,2024-06-19 06:58:31,873,"Carcharhiniformes","Carcharhinidae","Carcharhinus","(Valenciennes, 1839)","Bull shark","reef-associated",NA,1,164,1,30,360,260,316500,NA,NA
61865,105793,"Carcharhinus limbatus","[]","-","long_list","-","accepted","-","Species",1,1,0,0,NA,2024-06-19 06:58:31,874,"Carcharhiniformes","Carcharhinidae","Carcharhinus","(Valenciennes, 1839)","Blacktip shark","reef-associated",NA,0,140,0,30,286,150,122750,NA,NA
302049,105794,"Carcharhinus longimanus","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2008-01-15 17:27:08,875,"Carcharhiniformes","Carcharhinidae","Carcharhinus","(Poey, 1861)","Oceanic whitetip shark","pelagic-oceanic",NA,0,1082,0,152,400,270,167370,18,28
263686,105795,"Carcharhinus melanopterus","[]","-","long_list","-","accepted","-","Species",1,1,0,0,NA,2008-01-15 17:27:08,877,"Carcharhiniformes","Carcharhinidae","Carcharhinus","(Quoy & Gaimard, 1824)","Blacktip reef shark","reef-associated",NA,0,75,NA,NA,200,NA,NA,NA,NA
7807,105796,"Carcharhinus obscurus","[]","-","long_list","-","accepted","-","Species",1,1,0,0,NA,2008-01-15 17:27:08,878,"Carcharhiniformes","Carcharhinidae","Carcharhinus","(Lesueur, 1818)","Dusky shark","reef-associated",NA,0,400,200,400,420,250,346540,NA,NA
7808,105797,"Carcharhinus plumbeus","[]","-","long_list","-","accepted","-","Species",1,1,0,0,NA,2008-01-15 17:27:08,880,"Carcharhiniformes","Carcharhinidae","Carcharhinus","(Nardo, 1827)","Sandbar shark","benthopelagic",NA,0,500,20,65,300,200,117930,23,27
303943,105798,"Carcharhinus signatus","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2008-01-15 17:27:08,883,"Carcharhiniformes","Carcharhinidae","Carcharhinus","(Poey, 1868)","Night shark","benthopelagic",NA,0,600,50,100,280,200,76650,11,16
7819,105799,"Galeocerdo cuvier","[]","-","long_list","in_assembly","accepted","-","Species",1,1,0,0,NA,2008-01-15 17:27:08,886,"Carcharhiniformes","Carcharhinidae","Galeocerdo","(Péron & Lesueur, 1822)","Tiger shark","benthopelagic",NA,0,800,0,140,750,500,807400,NA,NA
7821,105800,"Negaprion brevirostris","[]","-","long_list","-","accepted","-","Species",1,1,0,0,NA,2008-01-15 17:27:08,897,"Carcharhiniformes","Carcharhinidae","Negaprion","(Poey, 1868)","Lemon shark","reef-associated",NA,0,92,NA,NA,340,240,183700,NA,NA
7815,105801,"Prionace glauca","[]","-","long_list","-","accepted","-","Species",1,1,0,0,NA,2020-09-24 06:35:24,898,"Carcharhiniformes","Carcharhinidae","Prionace","(Linnaeus, 1758)","Blue shark","pelagic-oceanic",NA,0,1082,1,220,400,335,205930,7,21
34770,105802,"Rhizoprionodon acutus","[]","-","long_list","-","accepted","-","Species",1,1,1,0,NA,2008-01-15 17:27:08,899,"Carcharhiniformes","Carcharhinidae","Rhizoprionodon","(Rüppell, 1837)","Milk shark","benthopelagic",NA,1,200,NA,NA,175,110,5000,NA,NA
1213703,105803,"Paragaleus pectoralis","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2008-01-15 17:27:08,4998,"Carcharhiniformes","Hemigaleidae","Paragaleus","(Garman, 1906)","Atlantic weasel shark","demersal",NA,NA,100,30,70,140,100,NA,NA,NA
376642,105804,"Leptocharias smithii","[]","-","long_list","-","accepted","-","Species",1,1,0,0,NA,2008-01-15 17:27:08,2073,"Carcharhiniformes","Leptochariidae","Leptocharias","(Müller & Henle, 1839)","Barbeled houndshark","demersal",NA,10,75,10,60,77,55,NA,20,27
172663,105805,"Pseudotriakis microdon","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2008-01-15 17:27:08,2536,"Carcharhiniformes","Pseudotriakidae","Pseudotriakis","de Brito Capello, 1868","False catshark","bathydemersal",NA,173,1890,NA,NA,269,NA,NA,NA,NA
164745,105806,"Apristurus aphyodes","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2008-01-15 17:27:08,54373,"Carcharhiniformes","Pentanchidae","Apristurus","Nakaya & Stehmann, 1998",NA,"bathypelagic",NA,1014,1800,NA,NA,NA,NA,NA,NA,NA
164746,105807,"Apristurus laurussonii","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2008-01-15 17:27:08,770,"Carcharhiniformes","Pentanchidae","Apristurus","(Saemundsson, 1922)","Iceland catshark","bathydemersal",NA,560,1550,NA,NA,76,NA,NA,NA,NA
164748,105808,"Apristurus manis","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2008-01-15 17:27:08,774,"Carcharhiniformes","Pentanchidae","Apristurus","(Springer, 1979)","Ghost catshark","bathydemersal",NA,600,1900,NA,NA,85,NA,NA,NA,NA
164747,105809,"Apristurus microps","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2008-01-15 17:27:08,775,"Carcharhiniformes","Pentanchidae","Apristurus","(Gilchrist, 1922)","Smalleye catshark","bathydemersal",NA,1000,2200,NA,NA,61,NA,NA,NA,NA
1804729,105810,"Apristurus nasutus","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2008-01-15 17:27:08,776,"Carcharhiniformes","Pentanchidae","Apristurus","de Buen, 1959","Largenose catshark","bathydemersal",NA,400,925,NA,NA,70,NA,NA,NA,NA
409884,105811,"Galeus atlanticus","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2008-01-15 17:27:08,53997,"Carcharhiniformes","Pentanchidae","Galeus","(Vaillant, 1888)","Atlantic sawtail cat shark","bathydemersal",NA,NA,540,NA,NA,41.7000007629395,NA,NA,NA,NA
77914,105812,"Galeus melastomus","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2008-01-15 17:27:08,807,"Carcharhiniformes","Pentanchidae","Galeus","Rafinesque, 1810","Blackmouth catshark","demersal",NA,55,1873,150,1200,75,50,1370,NA,NA
162489,105813,"Galeus murinus","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2008-01-15 17:27:08,808,"Carcharhiniformes","Pentanchidae","Galeus","(Collett, 1904)","Mouse catshark","bathydemersal",NA,475,1200,NA,NA,63,NA,NA,NA,NA
7830,105814,"Scyliorhinus canicula","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2008-01-15 17:27:08,845,"Carcharhiniformes","Scyliorhinidae","Scyliorhinus","(Linnaeus, 1758)","Lesser spotted dogfish","demersal","Scyliorhininae",10,780,80,100,100,60,3725,NA,NA
68454,105815,"Scyliorhinus stellaris","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2008-01-15 17:27:08,854,"Carcharhiniformes","Scyliorhinidae","Scyliorhinus","(Linnaeus, 1758)","Nursehound","reef-associated","Scyliorhininae",1,400,20,63,170,125,NA,NA,NA
7823,105816,"Sphyrna lewini","[]","-","long_list","-","accepted","-","Species",1,1,0,0,NA,2008-01-15 17:27:08,912,"Carcharhiniformes","Sphyrnidae","Sphyrna","(Griffith & Smith, 1834)","Scalloped hammerhead","pelagic-oceanic",NA,0,1043,0,25,430,360,152400,NA,NA
195334,105817,"Sphyrna mokarran","[]","-","long_list","data_generation","accepted","-","Species",1,1,0,0,NA,2008-01-15 17:27:08,914,"Carcharhiniformes","Sphyrnidae","Sphyrna","(Rüppell, 1837)","Great hammerhead","pelagic-oceanic",NA,1,300,1,100,610,370,449500,NA,NA
661134,105818,"Sphyrna tudes","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2008-01-15 17:27:08,55029,"Carcharhiniformes","Sphyrnidae","Sphyrna","(Valenciennes, 1822)","Smalleye hammerhead","benthopelagic",NA,NA,NA,NA,12,134,NA,NA,NA,NA
195335,105819,"Sphyrna zygaena","[]","-","long_list","-","accepted","-","Species",1,1,0,0,NA,2008-01-15 17:27:08,917,"Carcharhiniformes","Sphyrnidae","Sphyrna","(Linnaeus, 1758)","Smooth hammerhead","pelagic-oceanic",NA,0,200,0,20,500,335,4e+05,NA,NA
86063,105820,"Galeorhinus galeus","[]","-","long_list","data_generation","accepted","-","Species",1,0,0,0,NA,2008-01-15 17:27:08,4642,"Carcharhiniformes","Triakidae","Galeorhinus","(Linnaeus, 1758)","Tope shark","benthopelagic","Galeorhininae",0,1100,2,471,193,160,44670,NA,NA
112232,105821,"Mustelus asterias","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2022-06-02 07:27:35,5938,"Carcharhiniformes","Triakidae","Mustelus","Cloquet, 1821","Starry smooth-hound","demersal","Triakinae",0,350,NA,NA,154,NA,4760,NA,NA
112230,105822,"Mustelus mustelus","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2008-01-15 17:27:08,4996,"Carcharhiniformes","Triakidae","Mustelus","(Linnaeus, 1758)","Smooth-hound","demersal","Triakinae",5,624,5,50,200,100,NA,NA,NA
112233,105823,"Mustelus punctulatus","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2008-01-15 17:27:08,5936,"Carcharhiniformes","Triakidae","Mustelus","Risso, 1827","Blackspotted smooth-hound","demersal","Triakinae",NA,NA,NA,NA,190,120,NA,NA,NA
7871,105824,"Chimaera monstrosa","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2008-01-15 17:27:08,2503,"Chimaeriformes","Chimaeridae","Chimaera","Linnaeus, 1758","Rabbit fish","bathydemersal",NA,40,1400,300,500,150,NA,2500,NA,NA
1459831,105825,"Hydrolagus affinis","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2008-01-15 17:27:08,5441,"Chimaeriformes","Chimaeridae","Hydrolagus","(de Brito Capello, 1868)","Smalleyed rabbitfish","bathydemersal",NA,300,3000,NA,NA,130,NA,NA,NA,NA
1266870,105826,"Hydrolagus mirabilis","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2008-01-15 17:27:08,9000,"Chimaeriformes","Chimaeridae","Hydrolagus","(Collett, 1904)","Large-eyed rabbitfish","bathydemersal",NA,450,1933,800,NA,38,NA,NA,NA,NA
1850443,105827,"Hydrolagus pallidus","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2008-01-15 17:27:08,27724,"Chimaeriformes","Chimaeridae","Hydrolagus","Hardy & Stehmann, 1990",NA,"bathydemersal",NA,800,2700,NA,NA,NA,NA,NA,NA,NA
765186,105829,"Harriotta raleighana","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2008-01-15 17:27:08,5053,"Chimaeriformes","Rhinochimaeridae","Harriotta","Goode & Bean, 1895","Pacific longnose chimaera","bathydemersal",NA,200,3100,500,2000,120,NA,1625,NA,NA
1927884,105830,"Rhinochimaera atlantica","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2008-01-15 17:27:08,9005,"Chimaeriformes","Rhinochimaeridae","Rhinochimaera","Holt & Byrne, 1909","Straightnose rabbitfish","bathydemersal",NA,200,1500,400,1500,140,NA,NA,NA,NA
27585,105831,"Chlamydoselachus anguineus","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2008-01-15 17:27:08,635,"Hexanchiformes","Chlamydoselachidae","Chlamydoselachus","Garman, 1884","Frilled shark","bathydemersal",NA,0,1570,120,1280,200,NA,NA,NA,NA
212740,105832,"Heptranchias perlo","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2008-01-15 17:27:08,636,"Hexanchiformes","Hexanchidae","Heptranchias","(Bonnaterre, 1788)","Sharpnose sevengill shark","bathydemersal",NA,0,1000,180,450,137,100,NA,NA,NA
94987,105833,"Hexanchus griseus","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2008-01-15 17:27:08,637,"Hexanchiformes","Hexanchidae","Hexanchus","(Bonnaterre, 1788)","Bluntnose sixgill shark","bathydemersal",NA,1,2500,180,1100,600,300,590000,6,10
303931,105834,"Hexanchus nakamurai","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2008-01-15 17:27:08,638,"Hexanchiformes","Hexanchidae","Hexanchus","Teng, 1962","Bigeyed sixgill shark","bathydemersal",NA,0,700,90,600,180,NA,NA,NA,NA
57980,105835,"Alopias superciliosus","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2010-05-06 12:14:18,2534,"Lamniformes","Alopiidae","Alopias","Lowe, 1841","Bigeye thresher","pelagic-oceanic",NA,0,730,0,100,487.984985351562,350,363800,NA,NA
7852,105836,"Alopias vulpinus","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2008-01-15 17:27:08,2535,"Lamniformes","Alopiidae","Alopias","(Bonnaterre, 1788)","Thresher","pelagic-oceanic",NA,0,650,0,200,573.299987792969,450,348000,NA,NA
57982,105837,"Cetorhinus maximus","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2017-08-08 06:37:06,90,"Lamniformes","Cetorhinidae","Cetorhinus","(Gunnerus, 1765)","Basking shark","pelagic-oceanic",NA,0,2000,0,NA,1520,700,4e+06,6,24
13397,105838,"Carcharodon carcharias","[]","-","long_list","-","accepted","-","Species",1,1,0,0,NA,2008-01-15 17:27:08,751,"Lamniformes","Lamnidae","Carcharodon","(Linnaeus, 1758)","Great white shark","pelagic-oceanic",NA,0,1280,0,250,640,NA,NA,NA,NA
57983,105839,"Isurus oxyrinchus","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2008-01-15 17:27:08,752,"Lamniformes","Lamnidae","Isurus","Rafinesque, 1810","Shortfin mako","pelagic-oceanic",NA,0,888,100,150,445,270,505760,16,NA
7847,105840,"Isurus paucus","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2013-01-08 10:48:02,753,"Lamniformes","Lamnidae","Isurus","Guitart, 1966","Longfin mako","pelagic-oceanic",NA,0,1752,NA,NA,427,200,NA,NA,NA
7849,105841,"Lamna nasus","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2008-01-15 17:27:08,88,"Lamniformes","Lamnidae","Lamna","(Bonnaterre, 1788)","Porbeagle","pelagic-oceanic",NA,0,1360,0,300,350,244,230000,-1,23
57987,105842,"Mitsukurina owstoni","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2008-01-15 17:27:08,5910,"Lamniformes","Mitsukurinidae","Mitsukurina","Jordan, 1898","Goblin shark","bathydemersal",NA,30,1300,270,960,617,200,NA,NA,NA
30501,105843,"Carcharias taurus","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2008-01-15 17:27:08,747,"Lamniformes","Odontaspididae","Carcharias","Rafinesque, 1810","Sand tiger shark","reef-associated",NA,1,191,15,25,330,250,158810,NA,NA
57989,105844,"Odontaspis ferox","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2008-01-15 17:27:08,749,"Lamniformes","Odontaspididae","Odontaspis","(Risso, 1810)","Smalltooth sand tiger","benthopelagic",NA,10,2000,13,880,450,NA,289000,NA,NA
1213699,105845,"Odontaspis noronhai","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2008-01-15 17:27:08,750,"Lamniformes","Odontaspididae","Odontaspis","(Maul, 1955)","Bigeye sand tiger shark","pelagic-oceanic",NA,60,1000,NA,NA,367,NA,NA,NA,NA
7801,105846,"Ginglymostoma cirratum","[]","-","long_list","-","accepted","-","Species",1,1,0,0,NA,2008-01-15 17:27:08,2532,"Orectolobiformes","Ginglymostomatidae","Ginglymostoma","(Bonnaterre, 1788)","Nurse shark","reef-associated",NA,0,130,1,35,430,304,109580,NA,NA
259920,105847,"Rhincodon typus","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2008-01-15 17:27:08,2081,"Orectolobiformes","Rhincodontidae","Rhincodon","Smith, 1828","Whale shark","pelagic-oceanic",NA,0,1928,0,100,1700,1000,3.4e+07,18,30
685728,105848,"Pristis pectinata","[]","-","long_list","-","accepted","-","Species",1,1,1,0,NA,2008-01-15 17:27:08,2057,"Rhinopristiformes","Pristidae","Pristis","Latham, 1794","Smalltooth sawfish","demersal",NA,10,88,NA,NA,760,550,350000,16,30
1577861,105849,"Pristis pristis","[]","-","long_list","-","accepted","-","Species",1,1,1,0,NA,2008-01-15 17:27:08,8940,"Rhinopristiformes","Pristidae","Pristis","(Linnaeus, 1758)","Common sawfish","demersal",NA,25,NA,NA,NA,750,250,NA,NA,NA
673854,105851,"Dasyatis pastinaca","[]","-","long_list","-","accepted","-","Species",1,1,0,0,NA,2008-01-15 17:27:08,2060,"Myliobatiformes","Dasyatidae","Dasyatis","(Linnaeus, 1758)","Common stingray","demersal","Dasyatinae",5,200,20,35,69.5,NA,10200,NA,NA
1449802,105852,"Dasyatis tortonesei","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2008-01-15 17:27:08,9334,"Myliobatiformes","Dasyatidae","Dasyatis","Capapé, 1975","Tortonese's stingray","demersal","Dasyatinae",100,200,NA,NA,80,65,NA,NA,NA
195307,105854,"Himantura uarnak","[]","-","long_list","-","accepted","-","Species",1,1,0,0,NA,2010-05-06 12:14:18,5507,"Myliobatiformes","Dasyatidae","Himantura","(Gmelin, 1789)","Honeycomb stingray","reef-associated","Urogymninae",20,50,NA,NA,200,45,150000,23,26
1072485,105855,"Taeniura grabata","[]","-","long_list","-","unaccepted","-","Species",1,0,0,0,NA,2023-01-11 08:59:53,NA,"Myliobatiformes","Dasyatidae",NA,"(Geoffroy Saint-Hilaire, 1817)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
558707,105856,"Gymnura altavela","[]","-","long_list","-","accepted","-","Species",1,1,0,0,NA,2008-01-15 17:27:08,2577,"Myliobatiformes","Gymnuridae","Gymnura","(Linnaeus, 1758)","Spiny butterfly ray","demersal",NA,5,100,NA,NA,400,200,60000,NA,NA
1579277,105858,"Mobula mobular","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2008-01-15 17:27:08,7618,"Myliobatiformes","Myliobatidae","Mobula","(Bonnaterre, 1788)","Devil fish","pelagic-neritic",NA,0,700,NA,NA,520,NA,1500000,NA,NA
495869,105859,"Mobula tarapacana","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2008-01-15 17:27:08,13194,"Myliobatiformes","Myliobatidae","Mobula","(Philippi, 1892)","Chilean devil ray","reef-associated",NA,0,1896,0,20,328,250,350000,NA,NA
990611,105860,"Myliobatis aquila","[]","-","long_list","-","accepted","-","Species",1,1,0,0,NA,2020-09-24 06:35:24,4330,"Myliobatiformes","Myliobatidae","Myliobatis","(Linnaeus, 1758)","Common eagle ray","benthopelagic",NA,1,300,NA,NA,183,NA,14500,NA,NA
1981662,105862,"Rhinoptera marginata","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2008-01-15 17:27:08,8976,"Myliobatiformes","Myliobatidae","Rhinoptera","(Geoffroy Saint-Hilaire, 1817)","Lusitanian cownose ray","benthopelagic",NA,NA,NA,NA,NA,200,NA,NA,NA,NA
315322,105863,"Amblyraja hyperborea","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2008-01-15 17:27:08,9256,"Rajiformes","Rajidae","Amblyraja","(Collett, 1879)","Arctic skate","bathydemersal",NA,92,2925,300,2300,112,NA,NA,-1.29,4
1072486,105864,"Amblyraja jenseni","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2008-01-15 17:27:08,27757,"Rajiformes","Rajidae","Amblyraja","(Bigelow & Schroeder, 1950)","Shorttail skate","bathydemersal",NA,165,3000,NA,NA,74.25,NA,NA,NA,NA
386614,105865,"Amblyraja radiata","[]","-","long_list","-","accepted","-","Species",1,1,0,0,NA,2008-01-15 17:27:08,2565,"Rajiformes","Rajidae","Amblyraja","(Donovan, 1808)","Starry ray","demersal",NA,5,1540,25,440,105,NA,11400,-1.3,14
1213666,105866,"Bathyraja pallida","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2008-01-15 17:27:08,9251,"Rajiformes","Arhynchobatidae","Bathyraja","(Forster, 1967)","Pale ray","bathydemersal",NA,2400,2950,NA,NA,160,NA,NA,NA,NA
464748,105867,"Bathyraja richardsoni","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2008-01-15 17:27:08,9252,"Rajiformes","Arhynchobatidae","Bathyraja","(Garrick, 1961)","Richardson's ray","bathydemersal",NA,803,2500,NA,NA,175,NA,NA,NA,NA
557337,105868,"Bathyraja spinicauda","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2008-01-15 17:27:08,2569,"Rajiformes","Arhynchobatidae","Bathyraja","(Jensen, 1914)","Spinytail skate","bathypelagic",NA,111,2949,165,255,170,NA,NA,1.5,7.5
420460,105869,"Dipturus batis","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2008-01-15 17:27:08,2058,"Rajiformes","Rajidae","Dipturus","(Linnaeus, 1758)","Blue skate","demersal",NA,100,1000,30,600,285,100,113000,NA,NA
420459,105871,"Dipturus nidarosiensis","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2008-01-15 17:27:08,8900,"Rajiformes","Rajidae","Dipturus","(Storm, 1881)","Norwegian skate","bathydemersal",NA,125,1420,NA,NA,200,NA,NA,NA,NA
182854,105872,"Dipturus oxyrinchus","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2008-01-15 17:27:08,7616,"Rajiformes","Rajidae","Dipturus","(Linnaeus, 1758)","Longnosed skate","bathydemersal",NA,70,1461,NA,200,150,NA,NA,NA,NA
213384,105873,"Leucoraja circularis","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2008-01-15 17:27:08,7614,"Rajiformes","Rajidae","Leucoraja","(Couch, 1838)","Sandy ray","demersal",NA,10,800,NA,NA,120,70,NA,NA,NA
223889,105874,"Leucoraja fullonica","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2008-01-15 17:27:08,7619,"Rajiformes","Rajidae","Leucoraja","(Linnaeus, 1758)","Shagreen ray","bathydemersal",NA,30,600,NA,NA,120,NA,NA,NA,NA
223890,105875,"Leucoraja melitensis","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2008-01-15 17:27:08,9260,"Rajiformes","Rajidae","Leucoraja","(Clark, 1926)","Maltese ray","bathydemersal",NA,60,800,NA,NA,52,NA,NA,NA,NA
223888,105876,"Leucoraja naevus","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2008-01-15 17:27:08,4326,"Rajiformes","Rajidae","Leucoraja","(Müller & Henle, 1841)","Cuckoo ray","demersal",NA,12,900,20,250,81,40,NA,NA,NA
420457,105877,"Malacoraja kreffti","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2013-01-08 10:48:02,9261,"Rajiformes","Rajidae","Malacoraja","(Stehmann, 1978)","Krefft's ray","demersal",NA,1000,1500,NA,NA,70,NA,NA,NA,NA
1090676,105878,"Malacoraja spinacidermis","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2008-01-15 17:27:08,8904,"Rajiformes","Rajidae","Malacoraja","(Barnard, 1923)","Soft skate","bathydemersal",NA,450,1570,NA,NA,70,NA,NA,3,4.5
417954,105879,"Neoraja caerulea","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2008-01-15 17:27:08,9255,"Rajiformes","Rajidae","Neoraja","(Stehmann, 1976)","Blue ray","bathydemersal",NA,600,1540,NA,NA,35,NA,NA,NA,NA
182852,105881,"Raja asterias","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2008-01-15 17:27:08,8924,"Rajiformes","Rajidae","Raja","Delaroche, 1809","Mediterranean starry ray","demersal",NA,0,700,20,50,75,NA,2549,NA,NA
7781,105883,"Raja clavata","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2008-01-15 17:27:08,2059,"Rajiformes","Rajidae","Raja","Linnaeus, 1758","Thornback ray","demersal",NA,5,1020,NA,NA,105,85,18000,NA,NA
762857,105884,"Raja maderensis","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2008-01-15 17:27:08,5013,"Rajiformes","Rajidae","Raja","Lowe, 1838","Madeiran ray","bathydemersal",NA,NA,500,NA,NA,85,50,NA,NA,NA
223863,105885,"Raja microocellata","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2008-01-15 17:27:08,5492,"Rajiformes","Rajidae","Raja","Montagu, 1818","Small-eyed ray","demersal",NA,NA,100,NA,NA,87,NA,4500,NA,NA
182853,105886,"Raja miraletus","[]","-","long_list","-","accepted","-","Species",1,1,0,0,NA,2008-01-15 17:27:08,5014,"Rajiformes","Rajidae","Raja","Linnaeus, 1758","Brown ray","demersal",NA,17,462,50,150,63,35,NA,NA,NA
